n_missing,method,confidence,n_sampling,feasible,valid,cost,relative_cost,time,probability_target,sign_agreement,y_init
0,optimal,1.0,0,True,True,4.8047702192941735,1.0,0.01918482780456543,0.5009134198954419,1.0,1
2,armin,0.75,100,True,False,4.564152237411648,0.9499210220467373,0.07737016677856445,0.46820136929971146,1.0,1
2,armin,0.75,200,True,False,4.500372370035129,0.9366467415992766,0.18846797943115234,0.4685063617214008,1.0,1
2,armin,0.75,300,True,False,4.378751212213934,0.9113341559249795,0.28321385383605957,0.4569439578788812,1.0,1
2,armin,0.75,400,True,False,4.588640633036155,0.9550177060725771,0.5217890739440918,0.47709001155412356,1.0,1
2,armin,0.75,500,True,False,5.2417744186118576,1.0909521536665452,0.5225491523742676,0.4622347244564933,0.75,1
0,optimal,1.0,0,True,True,2.861964646027624,1.0,0.016924142837524414,0.5004452705932667,1.0,1
2,armin,0.75,100,True,True,3.473198907005662,1.213571562397329,0.07498621940612793,0.5654338729698187,0.6666666666666666,1
2,armin,0.75,200,True,True,3.357111871319656,1.1730095534126501,0.14371800422668457,0.5401897634041877,0.6666666666666666,1
2,armin,0.75,300,True,True,3.389106839607922,1.1841889257129594,0.2006828784942627,0.5477577451098121,0.6666666666666666,1
2,armin,0.75,400,True,True,3.3989031194077706,1.1876118470315178,0.2946798801422119,0.5539726407387795,0.3333333333333333,1
2,armin,0.75,500,True,True,3.3593246747557304,1.1737827297826466,0.4618809223175049,0.5435358978398313,0.6666666666666666,1
0,optimal,1.0,0,True,True,3.1585732042114816,1.0,0.024403810501098633,0.5017913032474837,1.0,1
2,armin,0.75,100,True,True,3.3676634938909786,1.0661977026211413,0.06111001968383789,0.5305992703092183,1.0,1
2,armin,0.75,200,True,True,3.335863520378272,1.0561298740616176,0.11372709274291992,0.5245813039305187,1.0,1
2,armin,0.75,300,True,True,3.3400954748689107,1.0574697051236288,0.1929631233215332,0.5280351968155086,1.0,1
2,armin,0.75,400,True,True,3.335863520378272,1.0561298740616176,0.23913192749023438,0.5245813039305187,1.0,1
2,armin,0.75,500,True,True,3.351179913631375,1.060979023428389,0.27422285079956055,0.5275912894157779,1.0,1
0,optimal,1.0,0,True,True,1.3604970049056453,1.0,0.01582193374633789,0.5015368253550825,1.0,1
2,armin,0.75,100,True,True,1.684512787758244,1.2381598648760497,0.06177687644958496,0.5348685160216593,0.25,1
2,armin,0.75,200,True,True,1.684512787758244,1.2381598648760497,0.21993303298950195,0.5348685160216593,0.25,1
2,armin,0.75,300,True,True,1.684512787758244,1.2381598648760497,0.27311277389526367,0.5348685160216593,0.25,1
2,armin,0.75,400,True,True,1.684512787758244,1.2381598648760497,0.29462599754333496,0.5348685160216593,0.25,1
2,armin,0.75,500,True,True,1.684512787758244,1.2381598648760497,0.4222989082336426,0.5348685160216593,0.25,1
0,optimal,1.0,0,True,True,1.447194719491626,1.0,0.01582789421081543,0.5011508288038213,1.0,1
2,armin,0.75,100,True,True,1.9404301055675182,1.3408217148893116,0.08419394493103027,0.5470034204598369,0.75,1
2,armin,0.75,200,True,True,1.9404301055675182,1.3408217148893116,0.14537501335144043,0.5470034204598369,0.75,1
2,armin,0.75,300,True,True,1.84425898259359,1.2743682365296674,0.23136687278747559,0.5375792668689056,1.0,1
2,armin,0.75,400,True,True,1.8929575891475692,1.3080185849576151,0.2489488124847412,0.5431664670804179,0.75,1
2,armin,0.75,500,True,True,1.8929575891475692,1.3080185849576151,0.45030784606933594,0.5431664670804179,0.75,1
0,optimal,1.0,0,True,True,4.661311436664743,1.0,0.02139902114868164,0.5015115075934022,1.0,1
2,armin,0.75,100,True,True,4.998682150828214,1.0723767803862654,0.07544398307800293,0.5363300408787143,1.0,1
2,armin,0.75,200,True,True,5.018620062418977,1.0766540984461435,0.18735003471374512,0.5395805471967826,0.75,1
2,armin,0.75,300,True,True,5.047889713898826,1.0829333723967363,0.2447669506072998,0.5415560269657766,0.75,1
2,armin,0.75,400,True,True,5.047889713898826,1.0829333723967363,0.37977099418640137,0.5415560269657766,0.75,1
2,armin,0.75,500,True,True,5.018620062418977,1.0766540984461435,0.4242260456085205,0.5395805471967826,0.75,1
0,optimal,1.0,0,True,True,0.7346081995392132,1.0,0.01258397102355957,0.5007784424276818,1.0,1
2,armin,0.75,100,True,True,0.8537273783320691,1.1621533476859829,0.04356193542480469,0.5199256534411001,0.0,1
2,armin,0.75,200,True,True,0.9036687309666382,1.2301370057310401,0.08381891250610352,0.5294706285076878,0.25,1
2,armin,0.75,300,True,True,0.8776087374803876,1.1946623220798138,0.1647169589996338,0.5218645033085975,0.25,1
2,armin,0.75,400,True,True,0.9036687309666382,1.2301370057310401,0.18121004104614258,0.5294706285076878,0.25,1
2,armin,0.75,500,True,True,0.9036687309666382,1.2301370057310401,0.48397207260131836,0.5294706285076878,0.25,1
0,optimal,1.0,0,True,True,1.999962834850328,1.0,0.015053987503051758,0.5000331442656352,1.0,1
2,armin,0.75,100,True,True,2.5677599231535617,1.2839038198155948,0.09234809875488281,0.573154175020034,0.75,1
2,armin,0.75,200,True,True,2.507626475391607,1.2538365372070883,0.1622781753540039,0.5691524046461807,0.6666666666666666,1
2,armin,0.75,300,True,True,2.5677599231535617,1.2839038198155948,0.2554318904876709,0.573154175020034,0.75,1
2,armin,0.75,400,True,True,2.6154281371851416,1.3077383697386924,0.3966648578643799,0.5805189387026264,0.6666666666666666,1
2,armin,0.75,500,True,True,2.5677599231535617,1.2839038198155948,0.49117612838745117,0.573154175020034,0.75,1
0,optimal,1.0,0,True,True,0.4391950529553624,1.0,0.014106035232543945,0.5019586457347883,1.0,1
2,armin,0.75,100,True,True,0.5132332333027706,1.168576990676926,0.05853581428527832,0.5110115056123159,0.6666666666666666,1
2,armin,0.75,200,True,True,0.5132332333027706,1.168576990676926,0.10012388229370117,0.5110115056123159,0.6666666666666666,1
2,armin,0.75,300,True,True,0.5132332333027706,1.168576990676926,0.17000508308410645,0.5110115056123159,0.6666666666666666,1
2,armin,0.75,400,True,True,0.5132332333027706,1.168576990676926,0.23324108123779297,0.5110115056123159,0.6666666666666666,1
2,armin,0.75,500,True,True,0.48683909415186716,1.108480368519422,0.4291951656341553,0.5079943948284105,0.6666666666666666,1
0,optimal,1.0,0,True,True,0.0499413526345691,1.0,0.01026606559753418,0.5007612774246797,1.0,1
2,armin,0.75,100,True,True,1.0257967546542504,20.540027463016692,0.07498598098754883,0.6149451615395829,0.5,0
2,armin,0.75,200,True,True,0.912048603373087,18.2623928920534,0.1139380931854248,0.603944378044446,0.3333333333333333,1
2,armin,0.75,300,True,True,1.0288425669531602,20.60101524444898,0.30055904388427734,0.6086113736090275,0.25,1
2,armin,0.75,400,True,True,0.9653744403887756,19.330162069349907,0.3228189945220947,0.6067592219924035,0.3333333333333333,1
2,armin,0.75,500,True,True,0.9041755968330542,18.104747851927208,0.4110589027404785,0.6038749298756574,0.5,1
0,optimal,1.0,0,True,True,1.176089675805844,1.0,0.016440868377685547,0.5017434519234072,1.0,1
2,armin,0.75,100,True,True,1.393608321058744,1.1849507309923955,0.10032296180725098,0.5230658526361238,1.0,1
2,armin,0.75,200,True,True,1.393608321058744,1.1849507309923955,0.30745792388916016,0.5230658526361238,1.0,1
2,armin,0.75,300,True,True,1.393608321058744,1.1849507309923955,0.7410008907318115,0.5230658526361238,1.0,1
2,armin,0.75,400,True,True,1.393608321058744,1.1849507309923955,0.943925142288208,0.5230658526361238,1.0,1
2,armin,0.75,500,True,True,1.393608321058744,1.1849507309923955,0.973189115524292,0.5230658526361238,1.0,1
0,optimal,1.0,0,True,True,1.5720549966038533,1.0,0.02273416519165039,0.5017471158174126,1.0,1
2,armin,0.75,100,True,True,1.8719066552904073,1.190738656939058,0.07388114929199219,0.5418436170477727,0.75,1
2,armin,0.75,200,True,True,1.8399275804953765,1.1703964457160942,0.1729259490966797,0.5335800189040611,0.75,1
2,armin,0.75,300,True,True,1.8399275804953765,1.1703964457160942,0.2583580017089844,0.5335800189040611,0.75,1
2,armin,0.75,400,True,True,1.8399275804953765,1.1703964457160942,0.34975600242614746,0.5335800189040611,0.75,1
2,armin,0.75,500,True,True,1.8719066552904073,1.190738656939058,0.4555928707122803,0.5418436170477727,0.75,1
0,optimal,1.0,0,True,True,2.9975804911188675,1.0,0.026185989379882812,0.5001025593752189,1.0,1
2,armin,0.75,100,True,True,3.464454402595875,1.1557502501968657,0.08592987060546875,0.5445061029197884,1.0,1
2,armin,0.75,200,True,True,3.3863528465258907,1.1296953848475013,0.1996159553527832,0.5426760267640653,1.0,1
2,armin,0.75,300,True,True,3.3863528465258907,1.1296953848475013,0.33893418312072754,0.5426760267640653,1.0,1
2,armin,0.75,400,True,True,3.424061553626516,1.1422750994581172,0.5386970043182373,0.5432692094375924,1.0,1
2,armin,0.75,500,True,True,3.366266112451814,1.1229944024606766,0.4483649730682373,0.540747301908302,1.0,1
0,optimal,1.0,0,True,True,2.0550266142890568,1.0,0.02199697494506836,0.50126803109602,1.0,1
2,armin,0.75,100,True,True,2.1059112789116483,1.024761073296462,0.07062411308288574,0.5073039346317082,1.0,1
2,armin,0.75,200,True,True,2.135485466990668,1.0391522193153913,0.1273949146270752,0.5103211980744388,1.0,1
2,armin,0.75,300,True,True,2.135485466990668,1.0391522193153913,0.21864700317382812,0.5103211980744388,1.0,1
2,armin,0.75,400,True,True,2.135485466990668,1.0391522193153913,0.3135039806365967,0.5103211980744388,1.0,1
2,armin,0.75,500,True,True,2.135485466990668,1.0391522193153913,0.49356913566589355,0.5103211980744388,1.0,1
