n_missing,method,confidence,feasible,valid,cost,relative_cost,time,probability_target,sign_agreement,y_init
0,optimal,1.0,True,True,0.14787089583624521,1.0,0.026355981826782227,0.5051897663522941,1.0,1
1,mean,1.0,True,True,0.14787089583624521,1.0,0.041136980056762695,0.5051897663522941,1.0,1
1,knn,1.0,True,True,0.14787089583624521,1.0,0.02713799476623535,0.5051897663522941,1.0,1
1,mice,1.0,True,True,0.14787089583624521,1.0,0.040551185607910156,0.5051897663522941,1.0,1
1,robust,1.0,True,True,0.802012244575194,5.423732912684565,0.19622564315795898,0.5581928474898684,0.5,1
1,armin,0.75,True,True,0.802012244575194,5.423732912684565,30.398895978927612,0.5581928474898684,0.5,1
2,mean,1.0,True,True,0.14787089583624521,1.0,0.027330875396728516,0.5051897663522941,1.0,1
2,knn,1.0,True,True,0.14787089583624521,1.0,0.02719902992248535,0.5051897663522941,1.0,1
2,mice,1.0,True,True,0.14787089583624521,1.0,0.027044057846069336,0.5051897663522941,1.0,1
2,robust,1.0,True,True,0.8840360973698003,5.9784320124008525,1.050565481185913,0.5640758690396862,0.5,1
2,armin,0.75,True,True,0.4682174756284075,3.166393717847761,16.126956939697266,0.5508042659298751,1.0,1
3,mean,1.0,True,False,0.0,0.0,0.015751123428344727,0.4630601436101246,0.0,0
3,knn,1.0,True,True,0.15126705809740268,1.0229670770705173,0.047144174575805664,0.5223125744543418,1.0,1
3,mice,1.0,True,True,0.14787089583624521,1.0,0.025758981704711914,0.5051897663522941,1.0,1
3,robust,1.0,True,True,0.802012244575194,5.423732912684565,0.4894373416900635,0.5581928474898684,0.5,1
3,armin,0.75,True,True,0.15126705809740268,1.0229670770705173,48.525346994400024,0.5223125744543418,1.0,1
0,optimal,1.0,True,True,1.2172547857974347,1.0,0.05353713035583496,0.5050434755904127,1.0,1
1,mean,1.0,True,True,1.2172547857974347,1.0,0.05010390281677246,0.5050434755904127,1.0,1
1,knn,1.0,True,True,1.2172547857974347,1.0,0.05317401885986328,0.5050434755904127,1.0,1
1,mice,1.0,True,True,1.2172547857974347,1.0,0.06207704544067383,0.5050434755904127,1.0,1
1,robust,1.0,True,True,1.2172547857974347,1.0,0.17931866645812988,0.5050434755904127,1.0,1
1,armin,0.75,True,True,1.2172547857974347,1.0,29.14639902114868,0.5050434755904127,1.0,1
2,mean,1.0,True,True,1.3682127667973694,1.1240151057619714,0.04088091850280762,0.5137416247161183,1.0,1
2,knn,1.0,True,True,1.2910747768968849,1.0606446505372251,0.06032681465148926,0.5082435070057217,1.0,1
2,mice,1.0,True,True,1.3682127667973694,1.1240151057619714,0.041468143463134766,0.5137416247161183,1.0,1
2,robust,1.0,True,True,3.2140374737192094,2.6403983054489815,0.4339289665222168,0.5417462789062276,0.5,1
2,armin,0.75,True,True,1.3682127667973694,1.1240151057619714,23.021589040756226,0.5137416247161183,1.0,1
3,mean,1.0,True,False,0.0,0.0,0.014970779418945312,0.4577613402738154,0.0,0
3,knn,1.0,True,False,0.0,0.0,0.014488935470581055,0.4577613402738154,0.0,0
3,mice,1.0,True,False,0.0,0.0,0.014546871185302734,0.4577613402738154,0.0,0
3,robust,1.0,True,True,1.2910747768968849,1.0606446505372251,0.46123695373535156,0.5082435070057217,1.0,0
3,armin,0.75,True,False,1.1972259153706726,0.9835458684077869,15.558899879455566,0.49943759277178307,1.0,1
0,optimal,1.0,True,True,0.6780508062834207,1.0,0.0601961612701416,0.5033898832063671,1.0,1
1,mean,1.0,True,True,0.6780508062834207,1.0,0.052160024642944336,0.5033898832063671,1.0,1
1,knn,1.0,True,True,0.6780508062834207,1.0,0.05245089530944824,0.5033898832063671,1.0,1
1,mice,1.0,True,True,0.6780508062834207,1.0,0.06008505821228027,0.5033898832063671,1.0,1
1,robust,1.0,True,True,1.0057112646766855,1.4832388006280237,0.45242810249328613,0.5476683259866961,0.5,1
1,armin,0.75,True,True,0.6780508062834207,1.0,30.78178095817566,0.5033898832063671,1.0,1
2,mean,1.0,True,True,0.6780508062834207,1.0,0.046072959899902344,0.5033898832063671,1.0,1
2,knn,1.0,True,True,0.6780508062834207,1.0,0.04528498649597168,0.5033898832063671,1.0,1
2,mice,1.0,True,True,0.6780508062834207,1.0,0.054663896560668945,0.5033898832063671,1.0,1
2,robust,1.0,True,True,0.6780508062834207,1.0,0.13902759552001953,0.5033898832063671,1.0,1
2,armin,0.75,True,True,0.6780508062834207,1.0,20.262218952178955,0.5033898832063671,1.0,1
3,mean,1.0,True,False,0.0,0.0,0.01518392562866211,0.46558887140121713,0.0,0
3,knn,1.0,True,False,0.0,0.0,0.018696069717407227,0.46558887140121713,0.0,0
3,mice,1.0,True,False,0.0,0.0,0.014456033706665039,0.46558887140121713,0.0,0
3,robust,1.0,True,True,0.74078340940321,1.092519030341758,0.43482494354248047,0.5357335165014608,0.0,0
3,armin,0.75,True,False,0.009737852868194164,0.014361538660458147,2.6049530506134033,0.4599829885825874,0.0,1
0,optimal,1.0,True,True,0.5418723898852048,1.0,0.026061058044433594,0.5012644719847219,1.0,1
1,mean,1.0,True,True,0.5418723898852048,1.0,0.0262908935546875,0.5012644719847219,1.0,1
1,knn,1.0,True,True,0.5418723898852048,1.0,0.025562047958374023,0.5012644719847219,1.0,1
1,mice,1.0,True,True,0.5418723898852048,1.0,0.025712966918945312,0.5012644719847219,1.0,1
1,robust,1.0,True,True,0.5418723898852048,1.0,0.14098644256591797,0.5012644719847219,1.0,1
1,armin,0.75,True,True,0.5418723898852048,1.0,7.932681083679199,0.5012644719847219,1.0,1
2,mean,1.0,True,True,0.5418723898852048,1.0,0.025484085083007812,0.5012644719847219,1.0,1
2,knn,1.0,True,True,0.5418723898852048,1.0,0.025928020477294922,0.5012644719847219,1.0,1
2,mice,1.0,True,True,0.5418723898852048,1.0,0.02639484405517578,0.5012644719847219,1.0,1
2,robust,1.0,True,True,0.5726309389969053,1.0567634551710905,0.4167306423187256,0.5101268862090815,1.0,1
2,armin,0.75,True,True,0.5418723898852048,1.0,5.827778100967407,0.5012644719847219,1.0,1
3,mean,1.0,True,False,0.34653539955762847,0.6395147751134574,0.026185035705566406,0.49429948547997377,0.5,1
3,knn,1.0,True,True,0.6164039548754991,1.1375444964193209,0.03879594802856445,0.5177491764443041,1.0,1
3,mice,1.0,True,True,0.5418723898852048,1.0,0.03214883804321289,0.5012644719847219,1.0,1
3,robust,1.0,True,True,2.7645365165570635,5.101822067632433,1.0226571559906006,0.5606691895780073,0.5,1
3,armin,0.75,True,True,1.3389143376004224,2.470903413041713,84.37841081619263,0.5364944329479215,0.6666666666666666,1
0,optimal,1.0,True,True,1.9916884478812862,1.0,0.075469970703125,0.5003416805874336,1.0,1
