n,n_missing,method,confidence,feasible,valid,cost,relative_cost,time,probability_target,sign_agreement,y_prob_init
0,0,optimal,1.0,True,True,6.494950858477141,1.0,0.007375955581665039,0.5096810132465884,1.0,0.001128993774966669
0,1,armin,0.01,True,False,5.2804440760219045,0.8130075486452565,0.03248095512390137,0.21839713770811153,1.0,0.001128993774966669
0,1,armin,0.05,True,False,5.391230107330852,0.8300648033840434,0.03963184356689453,0.22478762658791762,0.6666666666666666,0.001128993774966669
0,1,armin,0.06,True,False,5.702861022222862,0.8780452918715387,0.038221120834350586,0.2650651043961968,0.5,0.001128993774966669
0,1,armin,0.08,True,False,5.782093230699283,0.8902443385160577,0.04311394691467285,0.33582451315462836,1.0,0.001128993774966669
0,1,armin,0.15,True,False,5.892879262008231,0.9073015932548446,0.04218602180480957,0.34413815300402695,0.6666666666666666,0.001128993774966669
0,1,armin,0.16,True,False,5.9796085143397,0.9206549279022148,0.04713797569274902,0.35071411314576717,0.6666666666666666,0.001128993774966669
0,1,armin,0.18,True,False,5.993301703799762,0.9227632101291988,0.04087209701538086,0.3648569081161849,1.0,0.001128993774966669
0,1,armin,0.23,True,False,6.01735848277724,0.9264671302206156,0.03823208808898926,0.3667233432048028,0.6666666666666666,0.001128993774966669
0,1,armin,0.24,True,False,6.060723108942975,0.9331437975443007,0.0417020320892334,0.37009785854079424,0.6666666666666666,0.001128993774966669
0,1,armin,0.25,True,False,6.10408773510871,0.9398204648679858,0.03913688659667969,0.37348511230339454,0.6666666666666666,0.001128993774966669
0,1,armin,0.26,True,False,6.190816987440179,0.9531737995153559,0.03641796112060547,0.3802966866118932,0.6666666666666666,0.001128993774966669
0,1,armin,0.27,True,False,6.234181613605914,0.959850466839041,0.038172006607055664,0.3837204211573685,0.6666666666666666,0.001128993774966669
0,1,armin,0.28,True,False,6.277546239771648,0.966527134162726,0.03850293159484863,0.3871557223011969,0.6666666666666666,0.001128993774966669
0,1,armin,0.3,True,False,6.283742385376662,0.9674811283868588,0.036580801010131836,0.4777936936300905,1.0,0.001128993774966669
0,1,armin,0.46,True,False,6.39452841668561,0.9845383831256458,0.03344297409057617,0.48704464559516025,0.6666666666666666,0.001128993774966669
0,1,armin,0.47,True,False,6.437893042851345,0.9912150504493309,0.03489398956298828,0.49066848620464476,0.6666666666666666,0.001128993774966669
0,1,armin,0.49,True,False,6.481257669017079,0.997891717773016,0.06714487075805664,0.49429330776917313,0.6666666666666666,0.001128993774966669
0,1,armin,0.51,True,True,6.494950858477141,1.0,0.03751683235168457,0.5096810132465884,1.0,0.001128993774966669
0,1,armin,0.56,True,True,6.562372263620354,1.010380587415102,0.04396700859069824,0.5153144435650385,0.6666666666666666,0.001128993774966669
0,1,armin,0.59,True,True,6.649101515951823,1.023733922062472,0.04651999473571777,0.5225552316938131,0.6666666666666666,0.001128993774966669
0,1,armin,0.61,True,True,6.692466142117558,1.030410589386157,0.044589996337890625,0.5261722644761221,0.6666666666666666,0.001128993774966669
0,1,armin,0.63,True,True,6.70615933157762,1.032518871613141,0.04443788528442383,0.5414897481530009,1.0,0.001128993774966669
0,1,armin,0.66,True,True,6.730216110555098,1.0362227917045579,0.04323101043701172,0.5434865760185569,0.6666666666666666,0.001128993774966669
0,1,armin,0.67,True,True,6.8169453628865675,1.049576126351928,0.039483070373535156,0.5506734705009679,0.6666666666666666,0.001128993774966669
0,1,armin,0.71,True,True,6.903674615218037,1.0629294609992983,0.03923201560974121,0.5578392709122829,0.6666666666666666,0.001128993774966669
0,1,armin,0.72,True,True,6.947039241383772,1.0696061283229834,0.0365290641784668,0.5614133508209957,0.6666666666666666,0.001128993774966669
0,1,armin,0.73,True,True,6.99660001315452,1.0772367898708013,0.03446602821350098,0.6528981421190219,1.0,0.001128993774966669
0,1,armin,0.91,True,True,7.207808486254999,1.1097556614839423,0.034861087799072266,0.6812268075544238,1.0,0.001128993774966669
0,1,armin,0.93,True,True,7.405323769895416,1.1401662508700994,0.06263208389282227,0.6953965270925918,0.6666666666666666,0.001128993774966669
0,1,armin,0.95,True,True,7.578782274558354,1.1668729201648398,0.036093950271606445,0.7075432367348835,0.6666666666666666,0.001128993774966669
0,1,armin,0.96,True,True,7.709457640932378,1.1869924513547436,0.03523111343383789,0.7945363184450548,1.0,0.001128993774966669
0,1,armin,0.99,True,True,8.297254560064406,1.2774930466540662,0.03298497200012207,0.8247792278115138,0.6666666666666666,0.001128993774966669
0,1,armin,1.0,True,True,8.51407769089308,1.3108763832724917,0.012224912643432617,0.8350132136547008,0.6666666666666666,0.001128993774966669
1,0,optimal,1.0,True,True,6.108964315954983,1.0,0.007498979568481445,0.5029543224948257,1.0,0.0019117589569289661
1,1,armin,0.01,True,False,4.7787949213445255,0.7822594263422998,0.03264021873474121,0.20740735140954247,0.6666666666666666,0.0019117589569289661
1,1,armin,0.02,True,False,5.062301380434491,0.8286676953101709,0.03937888145446777,0.2334676944719135,0.6666666666666666,0.0019117589569289661
1,1,armin,0.03,True,False,5.2804440760219045,0.864376316985646,0.03976702690124512,0.32135522489024815,0.6666666666666666,0.0019117589569289661
1,1,armin,0.17,True,False,5.396106688177126,0.8833095773835077,0.027158021926879883,0.32984877006143765,1.0,0.0019117589569289661
1,1,armin,0.18,True,False,5.43947131434286,0.8904081007866447,0.036347150802612305,0.33306242925737417,1.0,0.0019117589569289661
1,1,armin,0.19,True,False,5.520585908946134,0.90368606255038,0.03738999366760254,0.35199948110121504,1.0,0.0019117589569289661
1,1,armin,0.2,True,False,5.607315161277604,0.917883109356654,0.04032111167907715,0.35864351590506716,1.0,0.0019117589569289661
1,1,armin,0.21,True,False,5.7751590082123485,0.9453581179266632,0.03678703308105469,0.38505501785779184,0.6666666666666666,0.0019117589569289661
1,1,armin,0.22,True,False,5.818523634378083,0.9524566413298001,0.03693890571594238,0.3884947351839414,0.6666666666666666,0.0019117589569289661
1,1,armin,0.23,True,False,5.861888260543818,0.959555164732937,0.036257028579711914,0.39194559520213057,0.6666666666666666,0.0019117589569289661
1,1,armin,0.25,True,False,5.991982139041024,0.9808507349423481,0.046174049377441406,0.40236190625002655,0.6666666666666666,0.0019117589569289661
1,1,armin,0.27,True,False,5.993301703799762,0.9810667396021382,0.04302620887756348,0.4932843671174124,0.6666666666666666,0.0019117589569289661
1,1,armin,0.48,True,False,6.022235063623513,0.985802953193726,0.027750015258789062,0.49570314787266456,1.0,0.0019117589569289661
1,1,armin,0.49,True,False,6.065599689789249,0.9929014765968631,0.02706599235534668,0.4993286998870349,1.0,0.0019117589569289661
1,1,armin,0.51,True,True,6.108964315954983,1.0,0.031091928482055664,0.5029543224948257,1.0,0.0019117589569289661
1,1,armin,0.52,True,True,6.152328942120718,1.0070985234031369,0.032319068908691406,0.506579634438546,1.0,0.0019117589569289661
1,1,armin,0.54,True,True,6.195693568286454,1.014197046806274,0.03254389762878418,0.5102042545913636,1.0,0.0019117589569289661
1,1,armin,0.56,True,True,6.204510176900241,1.0156402715752844,0.026425838470458984,0.5251658276831402,0.6666666666666666,0.0019117589569289661
1,1,armin,0.59,True,True,6.233443536723992,1.0203764851668722,0.036695003509521484,0.5275781720799202,1.0,0.0019117589569289661
1,1,armin,0.6,True,True,6.276808162889727,1.0274750085700093,0.04770708084106445,0.5311912910002967,1.0,0.0019117589569289661
1,1,armin,0.61,True,True,6.320172789055462,1.0345735319731462,0.03827500343322754,0.5348011426257591,1.0,0.0019117589569289661
1,1,armin,0.63,True,True,6.363537415221197,1.041672055376283,0.03588581085205078,0.5384073523106045,1.0,0.0019117589569289661
1,1,armin,0.65,True,True,6.536995919884138,1.070066148988831,0.03761696815490723,0.5527883351589333,1.0,0.0019117589569289661
1,1,armin,0.66,True,True,6.580360546049873,1.0771646723919681,0.03471517562866211,0.556370774006583,1.0,0.0019117589569289661
1,1,armin,0.67,True,True,6.70615933157762,1.0977571622186306,0.03697395324707031,0.6668167000601164,0.6666666666666666,0.0019117589569289661
1,1,armin,0.88,True,True,6.865186569898576,1.1237889460196293,0.03307986259460449,0.6785261051520306,1.0,0.0019117589569289661
1,1,armin,0.89,True,True,6.951915822230046,1.1379859928259033,0.036314964294433594,0.6848199448013712,1.0,0.0019117589569289661
1,1,armin,0.91,True,True,7.038645074561517,1.1521830396321773,0.03289794921875,0.691046669535549,1.0,0.0019117589569289661
1,1,armin,0.94,True,True,7.0820097007272516,1.1592815630353142,0.02778792381286621,0.6941343887197939,1.0,0.0019117589569289661
1,1,armin,0.95,True,True,7.385562083887398,1.208971226857273,0.03229713439941406,0.7152535919000015,1.0,0.0019117589569289661
1,1,armin,0.96,True,True,7.559020588550338,1.2373653204698207,0.03164196014404297,0.7269194136861377,1.0,0.0019117589569289661
1,1,armin,0.97,True,True,7.7324790932132785,1.2657594140823687,0.030826807022094727,0.7382821787518252,1.0,0.0019117589569289661
1,1,armin,0.98,True,True,7.775720835453331,1.2728378221403627,0.024257898330688477,0.7572525504927322,0.6666666666666666,0.0019117589569289661
1,1,armin,0.99,True,True,7.804654195277083,1.2775740357319505,0.028694868087768555,0.7590268311926063,0.75,0.0019117589569289661
1,1,armin,1.0,True,True,8.238300456934432,1.34855926976332,0.012037992477416992,0.7845493894067186,0.75,0.0019117589569289661
3,0,optimal,1.0,True,True,5.491652549122383,1.0,0.007556915283203125,0.5915930450955118,1.0,0.00513092606466059
3,1,armin,0.01,True,False,3.564288138889289,0.6490374449233673,0.022546052932739258,0.1592402053340336,0.5,0.00513092606466059
3,1,armin,0.02,True,False,3.735734466481142,0.6802568868050741,0.03121805191040039,0.16706750667343284,0.5,0.00513092606466059
3,1,armin,0.04,True,False,4.065937293566668,0.740385022030653,0.026179075241088867,0.2552475070149325,1.0,0.00513092606466059
3,1,armin,0.06,True,False,4.150654368827052,0.7558115397323096,0.04002809524536133,0.2606706166884152,0.6666666666666666,0.00513092606466059
3,1,armin,0.08,True,False,4.7787949213445255,0.8701925110153266,0.04044795036315918,0.41335048575875954,1.0,0.00513092606466059
3,1,armin,0.22,True,False,4.820147370439175,0.877722566626958,0.026144027709960938,0.41670804251994886,0.6666666666666666,0.00513092606466059
3,1,armin,0.23,True,False,4.9068766227706435,0.8935154908070081,0.027725934982299805,0.42377470882884216,0.6666666666666666,0.00513092606466059
3,1,armin,0.24,True,False,4.950241248936378,0.9014119528970332,0.026615142822265625,0.42731995868420003,0.6666666666666666,0.00513092606466059
3,1,armin,0.26,True,False,4.990003394445004,0.9086524228927143,0.026456117630004883,0.4445986340281365,0.5,0.00513092606466059
3,1,armin,0.27,True,False,5.031355843539654,0.9161824785043458,0.03359103202819824,0.4480161724070352,0.5,0.00513092606466059
3,1,armin,0.29,True,False,5.161449722036857,0.939871864774421,0.03462791442871094,0.4587982575688909,0.5,0.00513092606466059
3,1,armin,0.32,True,False,5.248178974368327,0.9556647889544713,0.0496978759765625,0.4660084446701125,0.5,0.00513092606466059
3,1,armin,0.33,True,False,5.378272852865531,0.9793541752245467,0.03882908821105957,0.4768494694487435,0.5,0.00513092606466059
3,1,armin,0.34,True,False,5.465002105197,0.9951470994045968,0.03533005714416504,0.4840895930109378,0.5,0.00513092606466059
3,1,armin,0.36,True,True,5.491652549122383,1.0,0.03560996055603027,0.5915930450955118,1.0,0.00513092606466059
3,1,armin,0.63,True,True,5.533004998217033,1.0075300556116316,0.029571056365966797,0.5949301655645263,0.6666666666666666,0.00513092606466059
3,1,armin,0.64,True,True,5.619734250548501,1.0233229797916816,0.0353238582611084,0.601900411541787,0.6666666666666666,0.00513092606466059
3,1,armin,0.65,True,True,5.749828129045706,1.047012366061757,0.03322792053222656,0.6122779655762801,0.6666666666666666,0.00513092606466059
3,1,armin,0.67,True,True,5.87992200754291,1.0707017523318323,0.02911686897277832,0.6225546400873181,0.6666666666666666,0.00513092606466059
3,1,armin,0.7,True,True,5.923286633708644,1.0785982144218573,0.03265786170959473,0.6259563674751507,0.6666666666666666,0.00513092606466059
3,1,armin,0.71,True,True,5.966651259874379,1.0864946765118824,0.035902976989746094,0.6293456898796701,0.6666666666666666,0.00513092606466059
3,1,armin,0.72,True,True,6.270203643034521,1.1417699111420583,0.04061293601989746,0.6527001368489154,0.6666666666666666,0.00513092606466059
3,1,armin,0.73,True,True,6.356932895365991,1.1575628353221086,0.038435935974121094,0.6592456765932151,0.6666666666666666,0.00513092606466059
3,1,armin,0.74,True,True,6.4002975215317255,1.1654592974121336,0.045020103454589844,0.6624959955929954,0.6666666666666666,0.00513092606466059
3,1,armin,0.75,True,True,6.573756026194664,1.197045145772234,0.04740309715270996,0.675342163986745,0.6666666666666666,0.00513092606466059
3,1,armin,0.76,True,True,6.660485278526133,1.2128380699522843,0.04435586929321289,0.6816690943666495,0.6666666666666666,0.00513092606466059
3,1,armin,0.79,True,True,6.703849904691868,1.2207345320423093,0.04299807548522949,0.6848077874429936,0.6666666666666666,0.00513092606466059
