n_missing,method,feasible,valid,cost,relative_cost,time,probability_target,sign_agreement,y_init
0,complete,True,True,1.5909665128799,1.5909665128799,0.05092310905456543,0.5352089,1.0,1
1,incomplete,True,False,1.5006668867652508,0.9432422836158929,0.024100065231323242,0.23547596,0.75,1
2,incomplete,True,True,4.0792038531538655,2.5639784496594236,0.051763057708740234,0.74411297,0.75,1
3,incomplete,True,True,1.5909665128799,1.0,0.05237698554992676,0.5352089,1.0,1
4,incomplete,True,False,0.15371087159571892,0.09661477495052867,0.02635979652404785,0.14112967,0.5,1
0,complete,True,True,0.0520642884907805,0.0520642884907805,0.02617788314819336,0.5930958,1.0,1
1,incomplete,True,True,0.0520642884907805,1.0,0.027174949645996094,0.5930958,1.0,1
2,incomplete,True,True,0.0520642884907805,1.0,0.020906925201416016,0.5930958,1.0,1
3,incomplete,True,False,0.0,0.0,0.007473945617675781,0.40336967,0.0,0
4,incomplete,True,False,0.0,0.0,0.015663862228393555,0.40336967,0.0,0
0,complete,True,True,0.6193331826865717,0.6193331826865717,0.048645973205566406,0.5114708,1.0,1
1,incomplete,True,False,0.2749051373311107,0.44387277319554347,0.021981000900268555,0.4683144,0.5,1
2,incomplete,True,False,0.013024180992628278,0.021029360862163712,0.017920970916748047,0.3159942,0.5,1
3,incomplete,True,True,1.5677635022391008,2.5313733319412743,0.03568696975708008,0.64697635,0.6666666666666666,1
4,incomplete,True,False,0.2522100414806941,0.407228368398809,0.011085987091064453,0.30747056,0.5,1
0,complete,True,True,0.4595298720849717,0.4595298720849717,0.041020870208740234,0.5076463,1.0,1
1,incomplete,True,True,0.4595298720849717,1.0,0.07094478607177734,0.5076463,1.0,1
2,incomplete,True,False,0.0,0.0,0.013193845748901367,0.15611434,0.0,0
3,incomplete,True,False,0.0,0.0,0.012137889862060547,0.15611434,0.0,0
4,incomplete,True,False,0.0,0.0,0.007008790969848633,0.15611434,0.0,0
0,complete,True,True,0.3434302967317553,0.3434302967317553,0.03503608703613281,0.53402865,1.0,1
1,incomplete,True,True,0.3434302967317553,1.0,0.029534101486206055,0.53402865,1.0,1
2,incomplete,True,True,0.3434302967317553,1.0,0.03500199317932129,0.53402865,1.0,1
3,incomplete,True,True,0.4337299228464043,1.262934362442635,0.024718046188354492,0.65125203,0.5,1
4,incomplete,True,False,0.14629890765082568,0.4259930153020135,0.017637968063354492,0.23714656,0.5,1
0,complete,True,True,0.19976251929989763,0.19976251929989763,0.019509077072143555,0.5340061,1.0,1
1,incomplete,True,True,0.19976251929989763,1.0,0.018093109130859375,0.5340061,1.0,1
2,incomplete,True,True,1.9024204562285634,9.523410412002839,0.020061969757080078,0.75869393,0.0,1
3,incomplete,True,True,1.1316122503878716,5.664787640613478,0.013317108154296875,0.6581769,0.0,1
4,incomplete,True,False,0.0,0.0,0.012300968170166016,0.45477092,0.0,0
0,complete,True,True,0.12086417542854001,0.12086417542854001,0.030583858489990234,0.5556277,1.0,1
1,incomplete,True,True,0.12086417542854001,1.0,0.02315378189086914,0.5556277,1.0,1
2,incomplete,True,True,0.24113357365245622,1.9950789619627574,0.02370595932006836,0.6727623,0.5,1
