n_missing,method,confidence,feasible,valid,cost,relative_cost,time,probability_target,sign_agreement,y_init
0,optimal,1.0,True,True,1.3821082436576895,1.0,0.2026970386505127,0.5012027136363195,1.0,1
1,mean,1.0,True,False,1.3408995770504457,0.9701841973692402,0.29108715057373047,0.4961106708741617,0.6666666666666666,1
1,knn,1.0,True,True,2.4286374543227724,1.7571977198366815,0.25495100021362305,0.5371282230270981,0.6666666666666666,1
1,mice,1.0,True,False,1.3408995770504457,0.9701841973692402,0.28173398971557617,0.4961106708741617,0.6666666666666666,1
1,robust,1.0,True,True,2.4286374543227724,1.7571977198366815,1.0295684337615967,0.5371282230270981,0.6666666666666666,1
1,armin,0.75,True,True,2.4286374543227724,1.7571977198366815,73.40513467788696,0.5371282230270981,0.6666666666666666,1
2,mean,1.0,True,True,1.3821082436576895,1.0,0.25699496269226074,0.5012027136363195,1.0,1
2,knn,1.0,True,True,2.2184412671614107,1.6051139824550948,0.3754558563232422,0.5209768846779236,1.0,1
2,mice,1.0,True,True,1.3821082436576895,1.0,0.34313392639160156,0.5012027136363195,1.0,1
2,robust,1.0,True,True,2.508545328416905,1.8150136502898997,1.4279913902282715,0.5505302107623352,1.0,1
2,armin,0.75,True,True,2.2184412671614107,1.6051139824550948,98.25262403488159,0.5209768846779236,1.0,1
3,mean,1.0,True,False,1.023594221609272,0.7406035137308596,0.17232394218444824,0.49035121345646876,0.6666666666666666,1
3,knn,1.0,True,True,1.3821082436576895,1.0,0.2871549129486084,0.5012027136363195,1.0,1
3,mice,1.0,True,True,1.3821082436576895,1.0,0.2004859447479248,0.5012027136363195,1.0,1
3,robust,1.0,True,True,2.0703230660524823,1.4979456750604874,0.3703622817993164,0.510138879765283,1.0,1
3,armin,0.75,True,True,2.0703230660524823,1.4979456750604874,80.61107540130615,0.510138879765283,1.0,1
0,optimal,1.0,True,True,2.59267175974933,1.0,0.8294961452484131,0.5061366951592299,1.0,1
1,mean,1.0,True,False,2.519389068365529,0.97173468214469,0.6255309581756592,0.49257325065963314,1.0,1
1,knn,1.0,True,True,2.59267175974933,1.0,0.890373945236206,0.5061366951592299,1.0,1
1,mice,1.0,True,True,2.59267175974933,1.0,0.9119980335235596,0.5061366951592299,1.0,1
1,robust,1.0,True,True,2.760125433584378,1.0645873019619108,0.7335724830627441,0.5140006054839747,1.0,1
1,armin,0.75,True,True,2.760125433584378,1.0645873019619108,267.09347677230835,0.5140006054839747,1.0,1
2,mean,1.0,True,False,2.0713400989332853,0.7989210709548327,0.570885181427002,0.45704021299950315,1.0,1
2,knn,1.0,False,False,3.332821997893541,1.2854778031044594,1.0025248527526855,0.48879271360089704,1.0,1
2,mice,1.0,True,True,3.082758951330368,1.1890278589019776,1.0635440349578857,0.511600555327268,1.0,1
2,robust,1.0,False,False,5.855295547007274,2.2584021772094234,27.07387089729309,0.5392958866844707,0.75,1
2,armin,0.75,False,False,4.820922582091821,1.8594419304964112,442.6069974899292,0.5308315022284319,0.75,1
3,mean,1.0,True,False,1.7991694509698548,0.6939441694477383,0.5048561096191406,0.3953781296679427,0.75,1
3,knn,1.0,True,False,1.8895054161484233,0.7287869777742743,0.5928661823272705,0.40727046628222363,0.75,1
3,mice,1.0,True,True,2.59267175974933,1.0,0.7043979167938232,0.5061366951592299,1.0,1
3,robust,1.0,True,True,4.452721883126554,1.7174259974803217,5.733145236968994,0.5421177353098496,1.0,1
3,armin,0.75,True,True,3.2979362167704402,1.2720222698338406,731.090080499649,0.5320533048881718,1.0,1
0,optimal,1.0,True,True,2.766966396547741,1.0,0.7575709819793701,0.5006897024154484,1.0,1
1,mean,1.0,True,True,2.766966396547741,1.0,0.73844313621521,0.5006897024154484,1.0,1
1,knn,1.0,True,True,2.766966396547741,1.0,0.6687870025634766,0.5006897024154484,1.0,1
1,mice,1.0,True,True,2.766966396547741,1.0,0.7089800834655762,0.5006897024154484,1.0,1
1,robust,1.0,True,True,2.766966396547741,1.0,0.767427921295166,0.5006897024154484,1.0,1
1,armin,0.75,True,True,2.766966396547741,1.0,1322.410593509674,0.5006897024154484,1.0,1
2,mean,1.0,True,False,2.411845828561585,0.8716570723702215,0.8259119987487793,0.48105379725922776,1.0,1
2,knn,1.0,True,False,2.3756681527646935,0.858582220488381,0.6859369277954102,0.47233858243294546,0.75,1
2,mice,1.0,True,False,2.4872486535926965,0.8989081532381312,0.4870579242706299,0.4790019109528872,0.75,1
2,robust,1.0,True,True,2.766966396547741,1.0,4.330843925476074,0.5006897024154484,1.0,1
2,armin,0.75,True,False,2.7033317094241327,0.9770020021916409,1289.2193675041199,0.49980615365620934,0.75,1
3,mean,1.0,True,False,2.7556124493509704,0.9958966082092878,0.7008340358734131,0.495127888575299,0.6666666666666666,1
3,knn,1.0,True,True,2.803454613681959,1.0131870835799608,0.6978249549865723,0.5045065847995122,0.6666666666666666,1
3,mice,1.0,True,False,2.7033317094241327,0.9770020021916409,0.894834041595459,0.49980615365620934,0.75,1
3,robust,1.0,True,True,2.803454613681959,1.0131870835799608,1.902193546295166,0.5045065847995122,0.6666666666666666,1
3,armin,0.75,True,True,2.803454613681959,1.0131870835799608,1657.7994825839996,0.5045065847995122,0.6666666666666666,1
0,optimal,1.0,True,True,2.4319487217327214,1.0,0.622169017791748,0.5016633724041144,1.0,1
1,mean,1.0,True,False,2.39729376568266,0.9857501287998497,0.4324488639831543,0.4938926633372448,1.0,1
1,knn,1.0,True,False,2.39729376568266,0.9857501287998497,0.4082620143890381,0.4938926633372448,1.0,1
