n_missing,method,confidence,n_sampling,feasible,valid,cost,relative_cost,time,probability_target,sign_agreement,y_init
0,optimal,1.0,0,True,True,1.5669399917760654,1.0,0.006398916244506836,0.5000280875369112,1.0,1
2,armin,0.4,100,True,True,2.7186998830522473,1.735037651295572,0.06027102470397949,0.6232770979245177,0.5,1
2,armin,0.5,100,True,True,2.7186998830522473,1.735037651295572,0.06712508201599121,0.6232770979245177,0.5,1
2,armin,0.6,100,True,True,2.8609006336468026,1.825788255237575,0.049040794372558594,0.6419882745267906,0.6666666666666666,1
2,armin,0.7,100,True,True,3.11218328920663,1.9861534618687546,0.04705095291137695,0.6671598419560958,0.6666666666666666,1
2,armin,0.8,100,True,True,3.3807635514729464,2.1575577681446387,0.04194283485412598,0.6946561478166277,0.6666666666666666,1
