n_missing,method,confidence,n_sampling,feasible,valid,cost,relative_cost,time,probability_target,sign_agreement,y_init
0,optimal,1.0,0,True,True,0.4062161250818928,1.0,0.014301061630249023,0.5012569256841876,1.0,1
2,armin,0.7,100,True,True,1.0750259381409444,2.646438365597181,0.03841590881347656,0.522416806100959,0.3333333333333333,0
2,armin,0.7,200,True,True,18.365317653391106,45.21070563038007,0.08270406723022461,0.9048084161353844,0.25,1
2,armin,0.7,300,True,True,19.26242321844147,47.419149632620275,0.10622978210449219,0.9086197985977623,0.25,1
2,armin,0.7,400,True,True,16.962895523081215,41.75830174063501,0.16972899436950684,0.897327908679236,0.25,1
2,armin,0.7,500,True,True,18.853964622711583,46.41362924455704,0.1819610595703125,0.9069856551888246,0.25,1
