n,n_missing,method,confidence,feasible,valid,cost,relative_cost,time,probability_target,sign_agreement,y_prob_init
0,1,armin,0.75,True,True,5.759562548227497,1.3283112780715953,0.043643951416015625,0.620309570848015,0.3333333333333333,0.00014777515271768848
0,1,armin,0.76,True,True,5.787174179969188,1.3346792689634965,0.06054282188415527,0.6237193024028937,0.3333333333333333,0.00014777515271768848
0,1,armin,0.77,True,True,5.842149102577665,1.3473579766084767,0.04294991493225098,0.6305018344857021,0.3333333333333333,0.00014777515271768848
0,1,armin,0.78,True,True,5.951536673238333,1.3725857161412534,0.04703497886657715,0.64391122687414,0.3333333333333333,0.00014777515271768848
0,1,armin,0.81,True,True,6.060513905363473,1.3977188204825541,0.04509401321411133,0.6570986416590653,0.3333333333333333,0.00014777515271768848
0,1,armin,0.83,True,True,6.197626932418086,1.4293408019580793,0.05357813835144043,0.6732462810626824,0.3333333333333333,0.00014777515271768848
0,1,armin,0.85,True,True,6.253554396013868,1.4422391913802202,0.040762901306152344,0.6795946779505113,0.3333333333333333,0.00014777515271768848
0,1,armin,0.86,True,True,6.338617614615218,1.461857075841257,0.033889055252075195,0.688993413623935,0.3333333333333333,0.00014777515271768848
0,1,armin,0.88,True,True,6.454004353178501,1.488468386143057,0.03752303123474121,0.7012857782363826,0.3333333333333333,0.00014777515271768848
0,1,armin,0.89,True,True,6.606485739413978,1.5236347279158202,0.034512996673583984,0.7162511357869059,0.3333333333333333,0.00014777515271768848
0,1,armin,0.91,True,True,6.743698079924455,1.5552796137668743,0.02793097496032715,0.7278916369070147,0.3333333333333333,0.00014777515271768848
0,1,armin,0.93,True,True,6.821321383485042,1.573181652106997,0.030414104461669922,0.7335984527491715,0.3333333333333333,0.00014777515271768848
0,1,armin,0.95,True,True,7.196234923348191,1.6596468791328283,0.03413510322570801,0.7529625359672496,0.3333333333333333,0.00014777515271768848
0,1,armin,0.96,True,True,7.264067775649693,1.6752909739718675,0.034770965576171875,0.7556502620874523,0.3333333333333333,0.00014777515271768848
0,1,armin,0.97,True,True,8.131236173191681,1.8752835172938915,0.03608894348144531,0.7754369969278967,0.3333333333333333,0.00014777515271768848
0,1,armin,0.98,True,True,8.217484707412224,1.8951747676732364,0.036251068115234375,0.7829223369933618,0.3333333333333333,0.00014777515271768848
0,1,armin,0.99,True,True,8.431733599497209,1.9445863709482825,0.0433650016784668,0.7996801871523258,0.3333333333333333,0.00014777515271768848
0,1,armin,1.0,True,True,10.402041972268224,2.3989929011171527,0.012962102890014648,0.8600869004132808,0.5,0.00014777515271768848
