n_missing,method,confidence,n_sampling,feasible,valid,cost,relative_cost,time,probability_target,sign_agreement,y_init
0,optimal,1.0,0,True,True,13.119317492839725,1.0,0.018908023834228516,0.5261930218255028,1.0,1
2,armin,0.7,100,True,False,0.0,0.0,0.02523517608642578,0.053517095701764994,0.0,1
2,armin,0.7,200,True,False,0.0,0.0,0.04183816909790039,0.053517095701764994,0.0,1
2,armin,0.7,300,True,False,0.0,0.0,0.055235862731933594,0.053517095701764994,0.0,1
2,armin,0.7,400,True,False,0.0,0.0,0.0786130428314209,0.053517095701764994,0.0,1
2,armin,0.7,500,True,False,0.0,0.0,0.09521102905273438,0.053517095701764994,0.0,1
